gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
ZHX1-C8ORF76,ENSG00000259305,ENST00000357082,transcript,ENSG00000259305,31.14594892,32.04028118
RABEP2,ENSG00000177548,ENST00000358201,transcript,ENSG00000177548,31.94263261,32.0403568
AC009365.3,ENSG00000183470,ENST00000332558,transcript,ENSG00000183470,30.57768381,32.04044074
TRIP13,ENSG00000071539,ENST00000166345,transcript,ENSG00000071539,32.11248526,32.04069742
MYADM,ENSG00000179820,ENST00000391769,transcript,ENSG00000179820,31.35608252,32.0407369
LPIN3,ENSG00000132793,ENST00000373257,transcript,ENSG00000132793,31.96868836,32.04094072
LRRC24,ENSG00000254402,ENST00000529415,transcript,ENSG00000254402,32.14854078,32.04100125
RP11-701P16.2,ENSG00000251139,ENST00000508020,transcript,ENSG00000251139,32.48166322,32.04102423
ABCB5,ENSG00000004846,ENST00000404938,transcript,ENSG00000004846,32.03047496,32.04121016
SPECC1L,ENSG00000100014,ENST00000314328,transcript,ENSG00000100014,32.01837337,32.04122628
RPS12,ENSG00000112306,ENST00000230050,transcript,ENSG00000112306,31.99306982,32.04130156
PDC,ENSG00000116703,ENST00000391997,transcript,ENSG00000116703,31.91232904,32.04154152
PPEF2,ENSG00000156194,ENST00000286719,transcript,ENSG00000156194,32.05928197,32.04157923
MYO1D,ENSG00000176658,ENST00000318217,transcript,ENSG00000176658,31.99535431,32.04188558
DFNA5,ENSG00000105928,ENST00000342947,transcript,ENSG00000105928,31.91034976,32.04189519
EPHB3,ENSG00000182580,ENST00000330394,transcript,ENSG00000182580,31.85717234,32.04208266
LRRC32,ENSG00000137507,ENST00000407242,transcript,ENSG00000137507,32.0548264,32.04209523
LRRC17,ENSG00000128606,ENST00000339431,transcript,ENSG00000128606,31.90697319,32.04219034
CCDC125,ENSG00000183323,ENST00000396496,transcript,ENSG00000183323,31.94960739,32.04233654
ZZEF1,ENSG00000074755,ENST00000381638,transcript,ENSG00000074755,31.94565055,32.0425553
GADD45GIP1,ENSG00000179271,ENST00000316939,transcript,ENSG00000179271,31.8993616,32.04301355
FBXO32,ENSG00000156804,ENST00000517956,transcript,ENSG00000156804,31.9269602,32.04341263
PTPRU,ENSG00000060656,ENST00000345512,transcript,ENSG00000060656,32.04412872,32.04342353
FAM76B,ENSG00000077458,ENST00000358780,transcript,ENSG00000077458,32.00376258,32.04345184
FAH,ENSG00000103876,ENST00000407106,transcript,ENSG00000103876,31.31737956,32.04354798
MIS18A,ENSG00000159055,ENST00000290130,transcript,ENSG00000159055,32.16577817,32.04362026
EYA4,ENSG00000112319,ENST00000367895,transcript,ENSG00000112319,31.90366968,32.04369609
RAB11FIP5,ENSG00000135631,ENST00000258098,transcript,ENSG00000135631,32.00307554,32.04382206
RECQL5,ENSG00000108469,ENST00000317905,transcript,ENSG00000108469,32.25489214,32.04386061
ATP9B,ENSG00000166377,ENST00000426216,transcript,ENSG00000166377,31.984069,32.04407413
IL9,ENSG00000145839,ENST00000274520,transcript,ENSG00000145839,32.23572046,32.04408855
SH3BP5L,ENSG00000175137,ENST00000366472,transcript,ENSG00000175137,32.00656248,32.04416855
C17orf105,ENSG00000231256,ENST00000449302,transcript,ENSG00000231256,31.9419931,32.04418332
VAMP1,ENSG00000139190,ENST00000396308,transcript,ENSG00000139190,31.97085757,32.04422581
